candidate_sha256,source_youtube_id,title,video_url,channel_title,proposed_leaf_key,transcript_language,caption_type,view_metric_version,duration_seconds,transcript_preview,decision,reviewed_leaf_key,transcript_quality,reviewer,reviewed_at,review_notes
f436e9e77867940ea46223d3877f60d88bd7c5c395f064c39eeccd353f89f409,NrNfLDXMZ10,ACER Aspire Lite 15 โน้ตบุ๊คคุ้มค่า ราคาประหยัด สเปกแรงครบจบในเครื่องเดียว #โน้ตบุ๊คทำงาน #acer,https://www.youtube.com/watch?v=NrNfLDXMZ10,LaoSakPek  เล่าซักเป๊ก,laptop,th,unspecified,youtube_play_start_view_v2,37,"**ชื่อวิดีโอ:** ACER Aspire Lite 15 โน้ตบุ๊คคุ้มค่า ราคาประหยัด สเปกแรงครบจบในเครื่องเดียว #โน้ตบุ๊คทำงาน #acer **ลิงก์วิดีโอ:** https://youtube.com/shorts/NrNfLDXMZ10?si=83PK56_EU9_4YP4z **YouTube Video ID:** NrNfLDXMZ10 --- ทั้ง หมด นี้ ใน ราคา เปิด แค่ 14,990 บาท อยาก ได้ โน้ตบุ๊ค แรง ดี ราคา สบาย กระเป๋า ต้อง ดู ตัว นี้ เลย ครับ Acer Spy Light 15 รุ่น ใหม่ ล่า สุด ดีไซน์ บาง ฉีบ หน้า จอ ใหญ่ ขนาด 15.6 6 นิ้ว Full HD Panel IPS สี สวย คม ชัด ทำ งาน ก็ ได้ ดู หนัง ก็ ฟิน ขับ เคลื่อน ด้วย MD Rye",,,,,,
1eb3152523dc1615cb8e15778a4ca7e640fbbce11fb7f668ca0d6c3d71881e62,T2opswt3A5E,พรีวิว ASUS ExpertBook B5 โน๊ตบุ๊คสำหรับองค์กร ที่สุดแห่งความทนทาน,https://www.youtube.com/watch?v=T2opswt3A5E,TechOffside “ล้ำหน้าโชว์”,laptop,th,unspecified,youtube_play_start_view_v2,75,"**ชื่อวิดีโอ:** พรีวิว ASUS ExpertBook B5 โน๊ตบุ๊คสำหรับองค์กร ที่สุดแห่งความทนทาน **ลิงก์วิดีโอ:** https://youtube.com/shorts/T2opswt3A5E?si=2pvxHcyu9rNwd6Pe **YouTube Video ID:** T2opswt3A5E --- รุ่น ใหม่ กำลัง จะ มา Asus Expert Book B5 โน้ตบุ๊ค สำหรับ องค์ กร ที่ แข็ง แกร่ง และ ทน ทาน ที่ สุด บาน พับ แข็ง แรง มาก หิ้ว ที่ ตัว จอ ได้ แบบ นี้ เลย จอ พับ ได้ ถึง 50,000 ครั้ง มาก กว่า ชาว บ้าน 2 เท่า เธอ เอา ปากกา มา วาง แล้ว พับ จอ ลง แรง ๆ ก็ ไม่ พัง รอง รับ น้ำ หนัก กด ทับ ได้ ถึง 50 กก พี่ หล",,,,,,
1da993f84318aa461312aacf3b148b0f00963ff85dfd85a1f23d8be147efbf07,buPpSdpW7eU,"โน้ตบุ๊คทำงานแรม 16GB ,SSD 1TB ในราคาที่หาได้ยากในปี 2026 | ASUS ExpertBook P3",https://www.youtube.com/watch?v=buPpSdpW7eU,NotebookSPEC,laptop,th,unspecified,youtube_play_start_view_v2,1159,"## Transcript Contents โน้ตบุ๊ค สาย ทำ งาน RAM 16 GB ใน ราคา 20,000 นิด ๆ เท่า นั้น กับ ตัว นี้ ครับ Asus Expert Book P3 เป็น ยัง ไง ไป ชม กัน ครับ โจทย์ ใน ช่วง 88 ที่ ผ่าน มา นะ ครับ ผม อยาก จะ ได้ โน้ตบุ๊ค สัก เครื่อง นึง ที่ เน้น เรื่อง ของ RAM 16 แล้วะ กัน และ ใน ราคา ที่ เรา สามารถ จับ ต้อง ได้ ง่าย นะ ครับ เพราะ ว่า เมื่อ ก่อน เนี่ย เรา สามารถ ซื้อ โน้ตบุ๊ก RAM 16 GB ได้ ใน ราคา ไม่ ถึง 20,000 แต่ ตอน นี้ เหรอ 16 GB เนี่ย ยัง ไง ยัง ไง ก็ ต้อง 20,000 อัพ นะ ครับ จน ผม มา เจอ ตัว นี้ นะ คร",,,,,,
64406240b84a972b4a5effce340830edac28a0f319e7bd7a3cb40cb5ee364ee7,SBBh-QkCtzM,ASUS Gaming V16 โน้ตบุ๊กเกมมิ่งในร่างโน้ตบุ๊กทำงาน งบสี่หมื่น !!,https://www.youtube.com/watch?v=SBBh-QkCtzM,Extreme IT,laptop,th,unspecified,youtube_play_start_view_v2,74,เฮ้ย พี่ นพ เล่น เกม เหรอ เออ เนี่ย อหือ โน้ตบุ๊ก ทำ งาน นี่ นะ เอ้ย ไม่ ใช่ โน้ตบุ๊ก ทำ งาน บาง ขนาด นี้ โน้ตบุ๊ก ทำ งาน ไม่ ใช่ นี่ โห อัน นี้ หรอ เป็น โน้ตบุ๊ก Asus Gaming V16 ดู เรียบ ใช่ ป่ะ อ เป็น ไง ดู หน้า ตา ธรรมดา ใช่ ป่ะ อ บาง เขียบ เลย นี่ พี่ ดู กาง ได้ 180 องศ เฮ้ย แล้ว นี่ ดู คีย์บอร์ด คิด ว่า เกมิ่ง ป่ะ ล่ะ เออ เกมิ่ง เหรอ เนี่ย ดู WASD เป็น แบบ ใส แล้ว ตรง นี้ ถ้า สมมุติ โนตบุ๊ก ทำ งาน ปกติ WASD เป็น งี้ ป่ะ ไม่ เป็น ไม่ อ่ะ แล้ว สเปค เครื่อง นี้ นะ Intel Core 5210H ตัว แรง แล้ว,,,,,,
c510b41b4d68f632f1e2efc7815043cf7e0cccc75af352fa839aa624fb31b40a,gygej_PaTvE,โน้ตบุ๊กทำงานลื่นเล่นเกมดี ASUS Gaming V16 (V3607) #asusth #laptop  #gaming #fyp,https://www.youtube.com/watch?v=gygej_PaTvE,ASUS Thailand,laptop,th,unspecified,youtube_play_start_view_v2,41,ถ้า คุณ กำลัง มอง หา โนตบุ๊ค ทำ งาน แรง ๆ ที่ ทำ งาน ก็ ลื่น เล่น เกม ก็ ดี ราคา คุ้ม ๆ อยู่ ใช่ ไหม ต้อง Asus Gaming V16 ที่ ทรง พลัง ด้วย CPU Intel Core 7 และ มี การ์ด จอ แยก RTX 4050 RAM 16 GB ที่ สามารถ อัปเกรด ได้ สูง สุด ถึง 32 GB หน้า จอ Full HD ขนาด 16 นิ้ว Refresh Rate 144 Hz ที่ สามารถ กาง ได้ ถึง 180 องศา พอร์ต เชื่อม ต่อ ครบ Touchpad กว้าง รอง รับ ทั้ง การ ทำ งาน และ การ เล่น เกม ไม่ ว่า จะ งาน กราฟฟิก ตัด ต่อ หรือ จะ พัก ผ่อน เล่น เกม ตัว เครื่อง แข็ง แรง ทน ทาน กับ น้ำ หนัก ไม่ ถึง,,,,,,
11a576766ec497879fb514b0fbe11227dc6aad73ca27a8a780539c8eb694b75f,_1W5IBRN4QI,ASUS Zennook A14 รุ่นนี้ทำถึง ชน MacBook สบาย #laptop #notebook #windows #macbook,https://www.youtube.com/watch?v=_1W5IBRN4QI,คอมคร้าบ,laptop,th,unspecified,youtube_play_start_view_v2,51,ถ้า คุณ คิด จะ ซื้อ Macbook หยุด ดู รุ่น นี้ ก่อน นี่ คือ Asus Zenbook S14 โน้ตบุ๊ก สุด เบา แบต โคตร อึด ไม่ เหมือน Notebook Windows ทั่ว ไป ดีไซน์ คือ พรีเมี่ยม มาก ๆ น้ำ หนัก เบา โคตร แค่ 980 กรัม วัสดุ เป็น อลูมิเนียม แข็ง แรง ทน ทาน ไม่ เป็น รอย ง่าย ชิป Snapdragon X ใช้ ทำ งาน ทั่ว ไป คือ แรง โอเค เลย แบต อึด 30 ชม มา พร้อม หน้า จอ 14 นิ้ว oled คม ชัด ขั้น สุด กล้อง เว็บแคม อัปเกรด มา แล้ว เป็น full hd แถม สแกน ใบ หน้า ได้ ด้วย นะ ที่ สำคัญ พอร์ต เชื่อม ต่อ ก็ ให้ มา ครบ ทั้ง usbc HDMI USB ,,,,,,
6600be56ebfda74b969bc0890115703a8eac5ee4857e72f471a3a609961add94,4J7JG6e9pGs,โน้ตบุ๊คจอพับได้ ที่ดีที่สุดตอนนี้ HP OmniBook Ultra Flip 14 #OmniBook #โน๊ตบุ๊คทํางาน #โน้ตบุ๊ค2024,https://www.youtube.com/watch?v=4J7JG6e9pGs,NotebookSPEC,laptop,th,unspecified,youtube_play_start_view_v2,59,**ชื่อวิดีโอ:** โน้ตบุ๊คจอพับได้ ที่ดีที่สุดตอนนี้ HP OmniBook Ultra Flip 14 #OmniBook #โน๊ตบุ๊คทํางาน #โน้ตบุ๊ค2024 **ลิงก์วิดีโอ:** https://youtube.com/shorts/4J7JG6e9pGs?si=lR72vQfft7w3qywG **YouTube Video ID:** 4J7JG6e9pGs --- ก้าว เข้า สู่ ยุค aip PC อย่าง เต็ม ตัว แล้ว กับ HP omnibook Ultra fip 14 เครื่อง นี้ ปรับ ดีไซน์ ใหม่ ปรับ ฟีเจอร์ ต่าง ๆ และ การันตี ว่า เครื่อง นี้ รอง รับ ฟังก์ชัน AI 100% กับ CPU รุ่น ใหม่ อย่าง Intel quota 200v ที่ มา พร้อม ฟีเจอร์ AI การ์ด จอ บ่อน ที่ ดี ขึ้น แบ,,,,,,
ec6f11e14b50d9a14081dd6e66ea81f269aec7ae8a602d4413cc1204f9173666,RGZGD3FwvZY,รีวิว HyperX Omen 15 โน๊ตบุ๊คสำหรับคอเกม i7-14650HX + RTX5060 ใส่สุดไม่กัก ไม่ร้อน,https://www.youtube.com/watch?v=RGZGD3FwvZY,Extreme IT,laptop,th,unspecified,youtube_play_start_view_v2,1513,**ชื่อวิดีโอ:** รีวิว HyperX Omen 15 โน๊ตบุ๊คสำหรับคอเกม i7-14650HX + RTX5060 ใส่สุดไม่กัก ไม่ร้อน **ลิงก์วิดีโอ:** https://youtu.be/RGZGD3FwvZY?si=nDJhZaf3CdXzIP_N **YouTube Video ID:** RGZGD3FwvZY --- นี่ คือ โน้ตบุ๊ค สำหรับ ค เกม โดย เฉพาะ HyperX Omen 15 Core i714650HX บวก กับ การ์ด จอ ที่ เป็น 5060 เา จัด เต็ม ใน เรื่อง ของ ตัว TDP TGP แล้ว ก็ TPP ทุก อย่าง นะ ครับ มัน แรง นะ มัน ดี นะ คุณ สามารถ รื้อ แกะ เปลี่ยน ซิลิโคน เอง ได้ โดย ที่ ประกัน ไม่ ขาด สวัสดี ครับ สวัสดี เพื่อน ๆ ชาว Extrem V,,,,,,
7c493dc6b8e871ab419052d37954e1e22e3e89fe80a4c252ca1b38ca498b3c40,NFbN0EHorfo,โน้ตบุ๊คทำงานสเปคดี ไม่อืด ถูกสุดแล้วในปี 2025 | Lenovo Ideapad Slim 3 #lenovo #laptop #notebook,https://www.youtube.com/watch?v=NFbN0EHorfo,คอมคร้าบ,laptop,th,unspecified,youtube_play_start_view_v2,53,นี่ คือ โน้ตบุ๊ก สาย ทำ งาน ที่ ถูก ที่ สุด ใน ช่วง กลาง ปี 2025 นี้ แล้ว แบบ ใช้ งาน ได้ จริง ไม่ อืด ไม่ ช้า มี Windows 11 แท้ และ Office แท้ ถาวร มา ให้ กับ Lenovo Ide Pad Slim 3 ดีไซน์ เรียบ ๆ น้ำ หนัก เบา แค่ 1.62 ก ยก ถือ มือ เดียว ได้ ชิล ๆ จุด เด่น ของ รุ่น นี้ เลย นะ ครับ ก็ คือ ตัว พอร์ต USBC นี้ เนี่ย สามารถ เอา ไป ต่อ จอ แยก ก็ ได้ ชาร์จ ไฟ ก็ ได้ นะ แถม มี ช่อง อ่าน SD Card Reader ตัว เต็ม มา ให้ ด้วย สเปค ก็ ตาม นี้ เลย CPU Ryzen 5 5625U 6 คอ 12 เทรด RAM เนี่ย ให้ มา 16 GB SSD M.2 ,,,,,,
7d9e8488ae4537eb46029b1bb0a6cc0a837742e9ff70f7dce0b007a5ce12a84e,AnRpzXQbMwo,Lenovo IdeaPad Slim 3 โน๊ตบุ๊คสุดคุ้ม แรง ลื่น ทำงาน ครบในเครื่องเดียว #โน้ตบุ๊คทำงาน #lenovo,https://www.youtube.com/watch?v=AnRpzXQbMwo,LaoSakPek  เล่าซักเป๊ก,laptop,th,unspecified,youtube_play_start_view_v2,41,และ นี่ คือ 5 ข้อ ที่ คุณ ควร รู้ ก่อน ซื้อ Lenovo IdeaPad Slim 3 ประสิทธิภาพ สูง คุ้ม ราคา ใช้ CPU AMD Ryzen 7 5825U ซึ่ง รอง รับ งาน หนัก หลาย แท็บ พร้อมๆ กัน ได้ อย่าง สบาย แรม จัด มา ให้ 16 GB SSD 512 GB ให้ พื้นที่ เหลือเฟือ ทั้ง ทำงาน และ เก็บข้อมูล ต่างๆ AMD Radeon Graphics แบบ on board ก็ เพียงพอ สำหรับ ทำงาน Graphics พื้นฐาน จอ 15.6 นิ้ว Full HD สเปค หน้าจอ ดี ความ ละเอียด 1920 x 1080 พร้อม Panel IPS และ มี คุณสมบัติ กัน แสง สะท้อน Anti-Glare ติดตั้ง Windows 11 Home มา ให้ ทันที พร้อม ก,,,,,,
